Name	CNIC	EmpID	Designation	Contact	joining
Lonny	14698-5677452-5	4322	AP	0092-339-656803	23/5/2007
Lonna	36434-4736472-9	3426	AP	0092-335-659050	27/5/2011
Cristal	31284-2742848-1	3751	AP	0092-310-465111	12/10/2003
Kenneth	12082-2770229-3	3084	Professor	0092-311-691123	20/6/2014
Elli	14099-4534876-6	4425	AP	0092-317-861485	13/5/2003
Alline	15446-1591052-5	4913	AP	0092-333-958420	5/0/2011
Sharika	23885-1104748-2	3903	AP	0092-305-457350	5/0/2017
Nu	17328-5884738-1	4311	AP	0092-323-754240	25/2/2003
Daniela	13968-3050688-9	5152	Lecturer	0092-327-465234	0/2/2015
Cecilia	22158-5298184-2	4349	AP	0092-300-710282	1/0/2006
Leslie	33532-7088250-9	4307	AP	0092-326-506436	7/9/2006
Nan	35072-1539016-3	3320	AP	0092-302-487700	2/12/2002
Izetta	17200-1441177-4	3355	AP	0092-307-456572	10/10/2013
Tegan	13523-2990098-1	3493	AP	0092-301-922164	15/1/2010
Ruthann	23171-3360883-4	3841	AP	0092-309-458028	27/1/2016
Joni	21538-1250446-7	3061	AP	0092-317-815405	28/9/2006
Vi	12125-4718830-9	4734	AP	0092-332-468699	16/5/2011
Colette	21427-1914904-3	5047	AP	0092-303-523084	1/4/2016
Malcolm	27117-2123228-1	3822	AP	0092-342-493803	24/12/2010
Ryan	14202-2731273-2	4107	AP	0092-331-479647	10/9/2001
Jess	23261-1192556-4	3206	AP	0092-330-531525	14/7/2006
Sharen	33370-3940501-7	4419	AP	0092-334-549097	21/1/2007
Nickolas	21051-3602336-1	4853	AP	0092-342-543148	9/1/2012
Gary	15538-6986108-2	3468	AP	0092-315-907173	24/12/2012
Diane	28540-2762992-8	3296	Professor	0092-339-582301	5/9/2012
Roslyn	13454-4845715-0	3932	Professor	0092-322-899005	19/12/2013
Glory	40318-2034160-9	5079	Professor	0092-341-579373	25/8/2014
Rasheeda	39704-2070235-9	3377	Professor	0092-300-594842	6/5/2014
Alpha	13917-1443680-8	3676	Lecturer	0092-343-687643	13/4/2010
Refugia	21124-3047206-9	3330	Lecturer	0092-330-478712	8/8/2000
Shawnda	28762-1476448-0	4988	Lecturer	0092-323-591371	0/12/2015
Mona	40270-2321926-5	4193	Lecturer	0092-316-582463	2/2/2003
Gilma	20285-1078260-7	3153	Lecturer	0092-330-559401	13/7/2011
Janey	36343-3462280-0	4653	Lecturer	0092-334-710107	18/3/2015
Lili	22052-1088603-1	3097	Lecturer	0092-306-476508	2/10/2012
Loren	37504-1156957-2	3665	Lecturer	0092-303-457624	5/1/2001
Dorothy	11699-2521828-0	5060	Lecturer	0092-316-496703	28/12/2015
Gail	31841-1525042-0	4755	Lecturer	0092-344-582961	28/2/2017
Catalina	38411-1204240-8	3787	Lecturer	0092-348-643451	17/4/2006
Lawrence	42514-1884588-4	4528	Lecturer	0092-307-534140	8/9/2006
Carlee	28018-3004982-2	4123	Lecturer	0092-318-914027	3/2/2006
Thaddeus	31409-1093380-0	3804	Lecturer	0092-326-877463	16/10/2014
Jovita	27859-6198688-8	4591	Lecturer	0092-348-542841	0/5/2011
Alesia	41762-1799986-6	3367	Lecturer	0092-310-507926	2/12/2001
Lai	23253-1970690-5	5196	AP	0092-303-468942	20/6/2003
Brittni	13542-1845964-7	3745	AP	0092-327-478479	13/8/2002
Raylene	35709-3539700-5	4699	Professor	0092-308-475337	22/10/2011
Flo	36363-1007770-0	3668	Professor	0092-311-646520	5/6/2003
Jani	36114-2249668-7	4603	Lecturer	0092-335-455342	21/8/2009
Chauncey	33391-6025966-1	4206	Lecturer	0092-335-503846	20/6/2003
