First_Name	CNIC	RollNo	cgpa	program	Phone
James	28467-3717286-9	3052	2	BS	0092-300-864195
Josephine	21942-1202734-1	3058	3.7	BS	0092-340-619525
Art	21538-1250446-7	3061	3.9	MS	0092-317-815405
Lenna	16868-6088026-2	3069	1.9	BS	0092-330-452389
Donette	40106-1034891-4	3069	3.6	BS	0092-324-653786
Simona	22623-2071136-6	3078	3.7	BS	0092-317-526366
Mitsue	12082-2770229-3	3084	2.9	BS	0092-311-691123
Leota	29072-3727450-7	3090	2.9	BS	0092-341-481812
Sage	22052-1088603-1	3097	2	BS	0092-306-476508
Kris	18909-5002816-1	3105	2.3	MS	0092-318-661673
Minna	16359-1475893-8	3111	2.4	MS	0092-302-566494
Abel	33199-1352370-1	3119	1.9	BS	0092-320-544275
Kiley	32483-6487384-0	3120	3.8	BS	0092-301-615381
Graciela	40303-2369280-4	3123	1.9	BS	0092-341-981248
Cammy	35200-2449175-0	3130	1.3	MS	0092-328-466829
Mattie	34179-1170688-8	3134	3.6	BS	0092-326-474166
Meaghan	14886-1494628-9	3135	2.4	MS	0092-321-848364
Gladys	34389-5176725-0	3144	2.8	BS	0092-303-548075
Yuki	20285-1078260-7	3153	1.6	BS	0092-330-559401
Fletcher	20555-2260278-1	3156	1.6	BS	0092-331-684283
Bette	27437-1678084-3	3158	2.7	BS	0092-304-510267
Veronika	30671-4332736-3	3163	1.6	BS	0092-310-958887
Willard	37982-1263588-6	3169	2.4	MS	0092-333-733356
Maryann	30024-7051752-5	3177	2.1	BS	0092-340-567992
Alisha	13625-7935822-4	3177	3	MS	0092-301-750336
Allene	42270-2533810-2	3186	1.2	BS	0092-338-478655
Chanel	39972-3827152-3	3188	3.1	BS	0092-328-453749
Ezekiel	18360-2801320-0	3195	2.6	MS	0092-343-513717
Willow	31624-1334194-6	3198	1.2	MS	0092-327-674092
Bernardo	33152-1299600-0	3205	3.4	BS	0092-314-747323
Ammie	27086-3028720-7	3205	2.9	BS	0092-307-472862
Francine	23261-1192556-4	3206	2	MS	0092-330-531525
